CompanyName	Value(1000s)	Shares	OrderType
FLUOR CORP NEW	6893	150568	Market
FLUSHING FINL CORP	11955	424100	Market
FLWS/1-800 FLOWERS	1108	113591	Market
FLY LEASING LTD	4343	322900	Market
FNB CORP PA	19188	1355100	Market
FOAMIX PHARMACEUTICALS LTD	719	154900	Market
FOGO DE CHAO INC	1261	90700	Market
FONAR CORP	12688	457223	Market
FOOT LOCKER INC	67627	1372300	Market
FORESIGHT ENERGY LP	117	23972	Market
FOREST CITY RLTY TR INC	14931	617763	Market
FORESTAR GROUP INC	35801	2087503	Market
FORMFACTOR INC	20724	1671322	Market
FORRESTER RESH INC	22926	585600	Market
FORTINET INC	169292	4521700	Market
FORTIS INC	8331	237000	Market
FORTIVE CORP	42844	676300	Market
FORTRESS BIOTECH INC	203	42700	Market
FORTRESS INVESTMENT GROUP LL	6998	875800	Market
FORTRESS TRANS INFRST INVS L	5302	332603	Market
FORTUNA SILVER MINES INC	2701	552200	Market
FORWARD INDS INC N Y	668	635700	Market
FOSSIL GROUP INC	889	85900	Market
FOSTER L B CO	4035	188100	Market
FRANCESCAS HLDGS CORP	16057	1467706	Market
FRANCO NEVADA CORP	40129	556100	Market
FRANKLIN COVEY CO	2069	107200	Market
FRANKLIN FINL NETWORK INC	2079	50399	Market
FRANKLIN STREET PPTYS CORP	17871	1612900	Market
FREIGHTCAR AMER INC	609	35000	Market
FREQUENCY ELECTRS INC	2019	211616	Market
FRESH DEL MONTE PRODUCE INC	30332	595800	Market
FRIEDMAN INDS INC	2880	507000	Market
FRONTLINE LTD	1924	335700	Market
FS BANCORP INC	508	11600	Market
FTI CONSULTING INC	1930	55200	Market
FUEL TECH INC	475	601274	Market
FULL HOUSE RESORTS INC	1319	533913	Market
FULTON FINL CORP PA	869	45739	Market
FUTUREFUEL CORPORATION	23708	1571100	Market
FUWEI FILMS HLDGS CO LTD	278	93000	Market
G WILLI FOOD INTL LTD	4737	623300	Market
G-III APPAREL GROUP LTD	818	32800	Market
GAIA INC NEW	5775	515600	Market
GAIN CAP HLDGS INC	3845	617100	Market
GALAPAGOS NV	35605	465300	Market
GALENA BIOPHARMA INC	1290	2221086	Market
GALLAGHER ARTHUR J & CO	23358	408000	Market
GAMCO INVESTORS INC	1234	41700	Market
GAMING & LEISURE PPTYS INC	191608	5086489	Market
GAMING PARTNERS INTL CORP	1536	128800	Market
GARMIN LTD	13816	270742	Market
GARTNER INC	30372	245909	Market
GAS NAT INC	2054	158900	Market
GASLOG LTD	1272	83400	Market
GASTAR EXPL INC NEW	1612	1740874	Market
GAZIT GLOBE LTD	861	88000	Market
GCP APPLIED TECHNOLOGIES INC	20899	685200	Market
GEMPHIRE THERAPEUTICS INC	526	41100	Market
GENCO SHIPPING & TRADING LTD	1712	180830	Market
GENCOR INDS INC	4923	303900	Market
GENERAC HLDGS INC	8411	232800	Market
GENERAL CABLE CORP DEL NEW	4151	253900	Market
GENERAL COMMUNICATION INC	22218	606400	Market
GENERAL DYNAMICS CORP	45741	230900	Market
GENERAL ELECTRIC CO	6735	249364	Market
GENERAL FIN CORP DEL	237	46007	Market
GENERAL MLS INC	156865	2831500	Market
GENERAL MOLY INC	47	125986	Market
GENESCO INC	5190	153100	Market
GENESEE & WYO INC	2110	30850	Market
GENESIS HEALTHCARE INC	1508	866700	Market
GENETIC TECHNOLOGIES LTD	849	942180	Market
GENIE ENERGY LTD	3114	408597	Market
GENOMIC HEALTH INC	26473	813300	Market
GENTEX CORP	5403	284796	Market
GENUINE PARTS CO	1085	11700	Market
GEOPARK LTD	9491	1257100	Market
GERDAU S A	38073	12482799	Market
GERMAN AMERN BANCORP INC	5473	160550	Market
GERON CORP	1450	523380	Market
GETTY RLTY CORP NEW	28521	1136312	Market
GIBRALTAR INDS INC	37408	1049300	Market
GILAT SATELLITE NETWORKS LTD	14054	2723554	Market
GILEAD SCIENCES INC	736667	10407848	Market
GLACIER BANCORP INC NEW	16141	440900	Market
GLADSTONE COML CORP	44676	2050300	Market
GLADSTONE LD CORP	4953	424397	Market
GLASSBRIDGE ENTERPRISES INC	806	203600	Market
GLAUKOS CORP	26570	640700	Market
GLAXOSMITHKLINE PLC	402655	9338000	Market
GLOBAL BRASS & COPPR HLDGS I	27609	903729	Market
GLOBAL BROKERAGE INC	542	271230	Market
GLOBAL INDTY LTD CAYMAN	3360	86664	Market
GLOBAL PARTNERS LP	498	27600	Market
GLOBAL PMTS INC	81653	904045	Market
GLOBAL SELF STORAGE INC	165	33700	Market
GLOBAL SHIP LEASE INC NEW	1470	1205100	Market
GLOBAL WTR RES INC	558	56411	Market
GLOBALSCAPE INC	4847	916290	Market
GLOBUS MED INC	2334	70400	Market
GLU MOBILE INC	8863	3545000	Market
GLYCOMIMETICS INC	119	10700	Market
GMS INC	6398	227700	Market
GODADDY INC	52075	1227600	Market
GOL LINHAS AEREAS INTLG S A	6090	536062	Market
GOLD FIELDS LTD NEW	33492	9624100	Market
GOLD RESOURCE CORP	3958	970000	Market
GOLDCORP INC NEW	21450	1661499	Market
GOLDEN ENTMT INC	5232	252650	Market
GOLDEN OCEAN GROUP LTD	5654	841372	Market
GOLDEN STAR RES LTD CDA	6546	10069488	Market
GOLDFIELD CORP	11170	2030899	Market
GOLDMAN SACHS GROUP INC	56207	253300	Market
GOPRO INC	1430	175900	Market
GORMAN RUPP CO	1368	53715	Market
GOVERNMENT PPTYS INCOME TR	12625	689500	Market
GP STRATEGIES CORP	634	23999	Market
GPO AEROPORTUARIO DEL PAC SA	44830	399200	Market
GRACE W R & CO DEL NEW	45791	635900	Market
GRACO INC	2524	23100	Market
GRAHAM CORP	5666	288200	Market
GRAHAM HLDGS CO	30462	50800	Market
GRAINGER W W INC	77863	431300	Market
GRAN TIERRA ENERGY INC	9439	4214000	Market
GRAND CANYON ED INC	69793	890100	Market
GRANITE CONSTR INC	2494	51700	Market
GRANITE REAL ESTATE INVT TR	3617	90800	Market
GRAPHIC PACKAGING HLDG CO	27232	1976218	Market
GRAY TELEVISION INC	219	18700	Market
GRAY TELEVISION INC	5605	409150	Market
GREAT AJAX CORP	575	41100	Market
GREAT ELM CAP GROUP INC	2697	793209	Market
GREAT PANTHER SILVER LTD	1751	1367895	Market
GREAT PLAINS ENERGY INC	11601	396215	Market
GREAT SOUTHN BANCORP INC	10507	196400	Market
GREEN BANCORP INC	3030	156200	Market
GREEN BRICK PARTNERS INC	305	26637	Market
GREEN DOT CORP	31666	821842	Market
GREEN PLAINS PARTNERS LP	1728	92381	Market
GREENHILL & CO INC	21045	1047000	Market
GREENLIGHT CAPITAL RE LTD	3391	162272	Market
GREIF INC	1796	32200	Market
GREIF INC	2120	35100	Market
GRIFFIN INL RLTY INC	451	14232	Market
GRIFFON CORP	6482	295300	Market
GRIFOLS S A	6636	314078	Market
GROUPE CGI INC	4912	96100	Market
GROUPON INC	14723	3834000	Market
GRUBHUB INC	27237	624700	Market
GRUPO AEROPORTUARIO CTR NORT	13611	282500	Market
GRUPO AEROPORTUARIO DEL SURE	23144	110000	Market
GRUPO AVAL ACCIONES Y VALORE	5761	695776	Market
GRUPO FINANCIERO GALICIA S A	678	15900	Market
GRUPO SIMEC S A B DE C V	2493	232300	Market
GRUPO SUPERVIELLE S A	8485	469290	Market
GRUPO TELEVISA SA	9690	397600	Market
GSE SYS INC	1707	550600	Market
GSI TECHNOLOGY	6356	808700	Market
GTT COMMUNICATIONS INC	7228	228365	Market
GUANGSHEN RY LTD	4065	163500	Market
GUARANTY BANCORP DEL	14479	532320	Market
GUARANTY FED BANCSHARES INC	522	25800	Market
GUIDANCE SOFTWARE INC	3427	518407	Market
GULF ISLAND FABRICATION INC	4273	368329	Market
GULF RESOURCES INC	2598	1633900	Market
GW PHARMACEUTICALS PLC	8421	84000	Market
H & E EQUIPMENT SERVICES INC	1574	77100	Market
HABIT RESTAURANTS INC	16001	1012700	Market
HACKETT GROUP INC	13177	850144	Market
HAEMONETICS CORP	36323	919800	Market
HAIN CELESTIAL GROUP INC	32008	824522	Market
HALLADOR ENERGY COMPANY	2634	339000	Market
HALLIBURTON CO	101914	2386195	Market
HALLMARK FINL SVCS INC	2802	248660	Market
HALYARD HEALTH INC	1819	46300	Market
HANDY & HARMAN LTD	5281	168180	Market
HANMI FINL CORP	36733	1291157	Market
HANOVER INS GROUP INC	74706	842900	Market
HARBORONE BANCORP INC	228	11400	Market
HARDINGE INC	3189	256800	Market
HARMONY GOLD MNG LTD	1339	811299	Market
HARRIS CORP DEL	27200	249359	Market
HARSCO CORP	19455	1208400	Market
HARTE-HANKS INC	1651	1602500	Market
HARTFORD FINL SVCS GROUP INC	12307	234100	Market
HARVARD BIOSCIENCE INC	1504	590000	Market
HASBRO INC	36051	323300	Market
HAVERTY FURNITURE INC	36076	1437300	Market
HAWAIIAN ELEC INDUSTRIES	12596	389000	Market
HAWAIIAN HOLDINGS INC	93200	1985100	Market
HAWAIIAN TELCOM HOLDCO INC	9819	392900	Market
HAWKINS INC	4320	93200	Market
HC2 HLDGS INC	2780	472832	Market
HCA HEALTHCARE INC	56043	642700	Market
HCP INC	19138	598800	Market
HEALTH INS INNOVATIONS INC	23744	1010400	Market
HEALTHCARE RLTY TR	11932	349400	Market
HEALTHCARE SVCS GRP INC	309	6600	Market
HEALTHCARE TR AMER INC	92894	2985972	Market
HEALTHEQUITY INC	4838	97100	Market
HEALTHSOUTH CORP	8267	170800	Market
HEARTLAND EXPRESS INC	3384	162533	Market
HEARTLAND FINL USA INC	8558	181700	Market
HECLA MNG CO	10043	1969200	Market
HEICO CORP NEW	46718	752910	Market
HEICO CORP NEW	13578	188999	Market
HEIDRICK & STRUGGLES INTL IN	25561	1175200	Market
HELEN OF TROY CORP LTD	12683	134786	Market
HELIX ENERGY SOLUTIONS GRP I	830	147127	Market
HEMISPHERE MEDIA GROUP INC	6331	534244	Market
HEMISPHERX BIOPHARMA INC	36	71952	Market
HENNESSY ADVISORS INC	779	51350	Market
HENRY JACK & ASSOC INC	7125	68600	Market
HERBALIFE LTD	31250	438100	Market
HERITAGE COMMERCE CORP	7980	579100	Market
HERITAGE CRYSTAL CLEAN INC	2932	184400	Market
HERITAGE FINL CORP WASH	3363	126900	Market
HERSHA HOSPITALITY TR	2738	147925	Market
HERSHEY CO	182465	1699400	Market
HERTZ GLOBAL HLDGS INC	850	73900	Market
HEXCEL CORP NEW	9170	173700	Market
HFF INC	7660	220300	Market
HIBBETT SPORTS INC	15077	726625	Market
HIGHPOWER INTL INC	3497	958100	Market
HIGHWAY HLDGS LTD	479	138900	Market
HIGHWOODS PPTYS INC	12840	253200	Market
HILL INTERNATIONAL INC	2186	420400	Market
HILL ROM HLDGS INC	13502	169600	Market
HILLTOP HOLDINGS INC	532	20284	Market
HINGHAM INSTN SVGS MASS	2802	15400	Market
HISTOGENICS CORP	149	83000	Market
HMN FINL INC	1416	80700	Market
HMS HLDGS CORP	11661	630312	Market
HNI CORP	6076	152400	Market
HOEGH LNG PARTNERS LP	1920	100267	Market
HOLLY ENERGY PARTNERS L P	2140	65900	Market
HOLOGIC INC	55687	1227118	Market
HOME BANCORP INC	6068	142700	Market
HOME BANCSHARES INC	6573	263984	Market
HOME DEPOT INC	288300	1879400	Market
HOMETRUST BANCSHARES INC	13802	565655	Market
HONDA MOTOR LTD	78793	2876703	Market
HONEYWELL INTL INC	169158	1269100	Market
HOOKER FURNITURE CORP	15710	381765	Market
HOPE BANCORP INC	3591	192534	Market
HOPFED BANCORP INC	393	27400	Market
HORIZON BANCORP IND	9144	347028	Market
HORIZON PHARMA PLC	1281	107900	Market
HORTONWORKS INC	7953	617500	Market
HOSPITALITY PPTYS TR	4311	147900	Market
HOUGHTON MIFFLIN HARCOURT CO	1630	132500	Market
HOULIHAN LOKEY INC	6586	188700	Market
HOUSTON WIRE & CABLE CO	521	100100	Market
HOVNANIAN ENTERPRISES INC	12498	4463402	Market
HOWARD BANCORP INC	837	43458	Market
HRG GROUP INC	14274	806007	Market
HSN INC	5163	161849	Market
HUANENG PWR INTL INC	2915	104900	Market
HUB GROUP INC	7077	184536	Market
HUBBELL INC	17077	150900	Market
HUBSPOT INC	11346	172557	Market
HUDBAY MINERALS INC	122	21280	Market
HUDSON GLOBAL INC	597	445300	Market
HUDSON PAC PPTYS INC	4458	130400	Market
HUMANA INC	657157	2731100	Market
HUNT J B TRANS SVCS INC	94537	1034544	Market
HUNTINGTON BANCSHARES INC	2184	161544	Market
HUNTINGTON INGALLS INDS INC	101867	547200	Market
HURCO COMPANIES INC	1091	31400	Market
HURON CONSULTING GROUP INC	2578	59668	Market
HUTCHISON CHINA MEDITECH LTD	1772	76000	Market
HUTTIG BLDG PRODS INC	5921	844700	Market
HYATT HOTELS CORP	3288	58500	Market
I D SYSTEMS INC	857	139815	Market
IAC INTERACTIVECORP	82801	802027	Market
IAMGOLD CORP	97275	18851800	Market
IBERIABANK CORP	10925	134048	Market
ICAD INC	2054	490160	Market
ICF INTL INC	7013	148900	Market
ICICI BK LTD	22109	2464750	Market
ICON PLC	112768	1153160	Market
ICU MED INC	101482	588300	Market
IDACORP INC	24333	285100	Market
IDENTIV INC	1985	378048	Market
IDEX CORP	13259	117325	Market
IDEXX LABS INC	218224	1351900	Market
IDT CORP	18942	1318197	Market
IEC ELECTRS CORP NEW	910	252700	Market
IES HLDGS INC	5729	315632	Market
II VI INC	29995	874500	Market
IKANG HEALTHCARE GROUP INC	1843	150240	Market
ILG INC	1974	71815	Market
ILLUMINA INC	47010	270918	Market
IMAGE SENSING SYS INC	515	143100	Market
IMMERSION CORP	290	31900	Market
IMMUCELL CORP	586	79900	Market
IMMUNE DESIGN CORP	1363	139800	Market
IMMUNOCELLULAR THERAPEUTICS	112	131604	Market
IMMUNOGEN INC	5136	722340	Market
IMPAC MTG HLDGS INC	834	55100	Market
IMPAX LABORATORIES INC	5831	362200	Market
IMPERIAL OIL LTD	4199	143895	Market
IMPERVA INC	11672	243919	Market
INC RESH HLDGS INC	36346	621300	Market
INDEPENDENCE CONTRACT DRIL I	351	90200	Market
INDEPENDENCE HLDG CO NEW	941	46000	Market
INDEPENDENCE RLTY TR INC	2318	234900	Market
INDEPENDENT BANK CORP MICH	16724	768900	Market
INDUSTRIAS BACHOCO S A B DE	30845	532000	Market
INFINITY PHARMACEUTICALS INC	1837	1169873	Market
INFINITY PPTY & CAS CORP	20501	218100	Market
INFORMATION SERVICES GROUP I	7602	1849611	Market
INFOSONICS CORP	22	46510	Market
INFOSYS LTD	32433	2159300	Market
INFRAREIT INC	2095	109400	Market
INFUSYSTEM HLDGS INC	163	93000	Market
INGLES MKTS INC	4921	147774	Market
INGREDION INC	38803	325500	Market
INNERWORKINGS INC	12244	1055500	Market
INNODATA INC	933	533200	Market
INNOPHOS HOLDINGS INC	33787	770700	Market
INNOSPEC INC	6162	94000	Market
INNOVATIVE SOLUTIONS & SUPPO	1392	316300	Market
INOGEN INC	10573	110800	Market
INSEEGO CORP	642	513800	Market
INSIGHT ENTERPRISES INC	5310	132778	Market
INSIGNIA SYS INC	613	598900	Market
INSPERITY INC	22481	316633	Market
INSTALLED BLDG PRODS INC	2949	55699	Market
INSTRUCTURE INC	19605	664590	Market
INSULET CORP	16840	328200	Market
INSYS THERAPEUTICS INC NEW	443	35000	Market
INTEC PHARMA LTD JERUSALEM	154	27000	Market
INTEGER HLDGS CORP	354	8183	Market
INTEGRA LIFESCIENCES HLDGS C	529	9700	Market
INTEL CORP	109996	3260102	Market
INTELLIA THERAPEUTICS INC	307	19200	Market
INTELLICHECK INC	251	64400	Market
INTELSAT S A	1215	397100	Market
INTER PARFUMS INC	12597	343713	Market
INTERACTIVE BROKERS GROUP IN	6328	169100	Market
INTERCEPT PHARMACEUTICALS IN	617	5100	Market
INTERCONTINENTAL HOTELS GROU	2136	38466	Market
INTERDIGITAL INC	44415	574574	Market
INTERFACE INC	1047	53306	Market
INTERMOLECULAR INC	750	833600	Market
INTERNAP CORP	9985	2720620	Market
INTERNATIONAL BUSINESS MACHS	418464	2720300	Market
INTERNATIONAL FLAVORS&FRAGRA	18387	136200	Market
INTERNATIONAL GAME TECHNOLOG	51084	2791500	Market
INTERNATIONAL SPEEDWAY CORP	26191	697491	Market
INTERNET INITIATIVE JAPAN IN	3593	398800	Market
INTERPUBLIC GROUP COS INC	12280	499200	Market
INTERSECT ENT INC	5618	201000	Market
INTERSECTIONS INC	4481	953301	Market
INTERXION HOLDING N.V	20633	450700	Market
INTEST CORP	5009	753200	Market
INTEVAC INC	9350	842344	Market
INTL FCSTONE INC	1401	37097	Market
INTL PAPER CO	33219	586800	Market
INTRA CELLULAR THERAPIES INC	3112	250600	Market
INTRAWEST RESORTS HLDGS INC	18854	794169	Market
INTREPID POTASH INC	3286	1454200	Market
INTRICON CORP	1651	201899	Market
INTUIT	224455	1690048	Market
INTUITIVE SURGICAL INC	287252	307100	Market
INUVO INC	1294	1268620	Market
INVACARE CORP	1724	130600	Market
INVESCO MORTGAGE CAPITAL INC	7810	467396	Market
INVESTAR HLDG CORP	1780	77735	Market
INVESTMENT TECHNOLOGY GRP NE	5529	260300	Market
INVESTORS BANCORP INC NEW	39163	2931325	Market
INVESTORS REAL ESTATE TR	12855	2070100	Market
INVESTORS TITLE CO	3134	16200	Market
INVITAE CORP	786	82200	Market
INVUITY INC	210	28900	Market
ION GEOPHYSICAL CORP	1013	232782	Market
IONIS PHARMACEUTICALS INC	4192	82414	Market
IPASS INC	4268	3233098	Market
IRHYTHM TECHNOLOGIES INC	11676	274800	Market
IRIDEX CORP	2403	243000	Market
IRIDIUM COMMUNICATIONS INC	1139	103099	Market
IROBOT CORP	6689	79500	Market
IRONWOOD PHARMACEUTICALS INC	11899	630253	Market
IRSA INVERSIONES Y REP S A	863	35800	Market
ISHARES TR	1195	30100	Market
ISHARES TR	2943	71100	Market
ISRAEL CHEMICALS LTD	1399	295800	Market
ISSUER DIRECT CORPORATION	311	24100	Market
ISTAR INC	2485	206371	Market
ITAU CORPBANCA	4026	302471	Market
ITAU UNIBANCO HLDG SA	8901	805549	Market
ITERIS INC	4872	783300	Market
ITRON INC	48757	719661	Market
ITT INC	22320	555500	Market
ITURAN LOCATION AND CONTROL	35328	1128700	Market
IXYS CORP	11330	688772	Market
IZEA INC	52	27200	Market
J & J SNACK FOODS CORP	50424	381800	Market
J ALEXANDERS HLDGS INC	1245	101600	Market
J2 GLOBAL INC	8679	102000	Market
JACK IN THE BOX INC	3448	35000	Market
JAKKS PAC INC	6942	1735400	Market
JAMBA INC	1948	250060	Market
JAMES HARDIE INDS PLC	2981	189000	Market
JAMES RIV GROUP LTD	8860	223000	Market
JASON INDS INC	340	263600	Market
JAZZ PHARMACEUTICALS PLC	186833	1201500	Market
JERNIGAN CAP INC	2380	108200	Market
JEWETT CAMERON TRADING LTD	1033	87500	Market
JMP GROUP LLC	358	65614	Market
JOHN BEAN TECHNOLOGIES CORP	539	5500	Market
JOHNSON & JOHNSON	811229	6132200	Market
JOHNSON OUTDOORS INC	13238	274600	Market
JRJR33 INC	78	141000	Market
JUMEI INTL HLDG LTD	9537	4477300	Market
JUNIPER NETWORKS INC	151307	5427091	Market
JUNIPER PHARMACEUTICALS INC	2028	401600	Market
JUPAI HLDGS LTD	266	34000	Market
JUST ENERGY GROUP INC	11955	2281500	Market
K12 INC	9354	522000	Market
K2M GROUP HLDGS INC	3186	130772	Market
KADANT INC	9731	129400	Market
KAISER ALUMINUM CORP	17562	198400	Market
KAMADA LTD	2053	342200	Market
KAMAN CORP	2794	56022	Market
KANSAS CITY SOUTHERN	16085	153700	Market
KAPSTONE PAPER & PACKAGING C	4965	240676	Market
KAR AUCTION SVCS INC	16801	400300	Market
KB FINANCIAL GROUP INC	904	17900	Market
KCG HLDGS INC	5844	293071	Market
KEARNY FINL CORP MD	54997	3703521	Market
KELLOGG CO	204581	2945300	Market
KEMET CORP	48500	3789099	Market
KEMPER CORP DEL	1799	46600	Market
KENNAMETAL INC	6432	171900	Market
KEWAUNEE SCIENTIFIC CORP	1591	63900	Market
KEY TECHNOLOGY INC	1628	118400	Market
KEY TRONIC CORP	222	31300	Market
KEYCORP NEW	81149	4330251	Market
KEYSIGHT TECHNOLOGIES INC	32904	845200	Market
KEYW HLDG CORP	347	37100	Market
KILROY RLTY CORP	1946	25900	Market
KIMBALL ELECTRONICS INC	5369	297475	Market
KIMBALL INTL INC	21847	1308991	Market
KIMBERLY CLARK CORP	198545	1537800	Market
KIMCO RLTY CORP	1492	81300	Market
KINDER MORGAN INC DEL	157311	8210372	Market
KINDRED BIOSCIENCES INC	7023	816600	Market
KINDRED HEALTHCARE INC	2417	207490	Market
KINGSTONE COS INC	3989	260725	Market
KINGSWAY FINL SVCS INC	1627	268900	Market
KINROSS GOLD CORP	130941	32172372	Market
KINSALE CAP GROUP INC	914	24500	Market
KIRKLANDS INC	6890	670200	Market
KKR & CO L P DEL	40640	2184950	Market
KLA-TENCOR CORP	3148	34400	Market
KMG CHEMICALS INC	18349	377000	Market
KNOLL INC	5139	256298	Market
KNOT OFFSHORE PARTNERS LP	2382	103807	Market
KNOWLES CORP	5314	314074	Market
KOHLS CORP	4629	119700	Market
KONA GRILL INC	2261	611159	Market
KONINKLIJKE PHILIPS N V	32161	897870	Market
KOPIN CORP	52	13900	Market
KOPPERS HOLDINGS INC	6641	183700	Market
KOSS CORP	30	16400	Market
KRAFT HEINZ CO	102151	1192800	Market
KRATON CORPORATION	365	10600	Market
KRATOS DEFENSE & SEC SOLUTIO	6760	569499	Market
KRONOS WORLDWIDE INC	12741	699300	Market
KT CORP	3170	190500	Market
KULICKE & SOFFA INDS INC	30003	1577428	Market
KURA ONCOLOGY INC	837	90000	Market
KVH INDS INC	3650	384200	Market
KYOCERA CORP	32025	549600	Market
L BRANDS INC	72602	1347233	Market
L3 TECHNOLOGIES INC	100482	601400	Market
LA QUINTA HLDGS INC	4539	307300	Market
LA Z BOY INC	6554	201676	Market
LABORATORY CORP AMER HLDGS	78057	506405	Market
LADDER CAP CORP	1541	114930	Market
LADENBURG THALMAN FIN SVCS I	929	380600	Market
LAKELAND BANCORP INC	9421	499800	Market
LAKELAND FINL CORP	2402	52351	Market
LAKELAND INDS INC	5958	410924	Market
LAM RESEARCH CORP	56156	397056	Market
LAMAR ADVERTISING CO NEW	28825	391800	Market
LAMB WESTON HLDGS INC	25072	569300	Market
LANCASTER COLONY CORP	92058	750762	Market
LANDAUER INC	14278	273000	Market
LANDMARK BANCORP INC	1576	51681	Market
LANDMARK INFRASTRUCTURE LP	362	22600	Market
LANDSTAR SYS INC	31359	366340	Market
LANTHEUS HLDGS INC	12196	691000	Market
LANTRONIX INC	1130	464966	Market
LATAM AIRLS GROUP S A	27110	2448995	Market
LAWSON PRODS INC	514	23200	Market
LAYNE CHRISTENSEN CO	6846	778886	Market
LCNB CORP	1882	94124	Market
LEADING BRANDS INC	76	45400	Market
LEAF GROUP LTD	5494	704400	Market
LEAP THERAPEUTICS INC	184	27945	Market
LEGACY TEX FINL GROUP INC	36078	946179	Market
LEIDOS HLDGS INC	44714	865050	Market
LEJU HLDGS LTD	778	422700	Market
LEMAITRE VASCULAR INC	9822	314600	Market
LENDINGCLUB CORP	7539	1368300	Market
LENNAR CORP	3256	72400	Market
LEUCADIA NATL CORP	3314	126689	Market
LEXICON PHARMACEUTICALS INC	6318	384097	Market
LG DISPLAY CO LTD	2690	167400	Market
LGL GROUP INC	502	104100	Market
LHC GROUP INC	9124	134400	Market
LIANLUO SMART LTD	12	11100	Market
LIBBEY INC	4547	564200	Market
LIBERTY BROADBAND CORP	7953	92700	Market
LIBERTY GLOBAL PLC	62317	1998615	Market
LIBERTY INTERACTIVE CORP	8516	162856	Market
LIBERTY INTERACTIVE CORP	2597	105822	Market
LIBERTY MEDIA CORP DELAWARE	2661	111370	Market
LIBERTY MEDIA CORP DELAWARE	14890	354700	Market
LIBERTY MEDIA CORP DELAWARE	6002	250400	Market
LIBERTY MEDIA CORP DELAWARE	35337	847400	Market
LIBERTY MEDIA CORP DELAWARE	2726	77825	Market
LIBERTY MEDIA CORP DELAWARE	24378	665709	Market
LIBERTY PPTY TR	23278	571800	Market
LIBERTY TAX INC	1936	149500	Market
LIFEPOINT HEALTH INC	2473	36830	Market
LIFETIME BRANDS INC	4534	249800	Market
LIFEVANTAGE CORP	2902	670271	Market
LIFEWAY FOODS INC	1445	154700	Market
LIGAND PHARMACEUTICALS INC	9481	78094	Market
LIGHTINTHEBOX HLDG CO LTD	918	316700	Market
LILLY ELI & CO	468691	5694905	Market
LIMELIGHT NETWORKS INC	7228	2501005	Market
LIMONEIRA CO	1999	84600	Market
LINCOLN EDL SVCS CORP	2291	739100	Market
LINCOLN ELEC HLDGS INC	18403	199838	Market
LINDBLAD EXPEDITIONS HLDGS I	461	43900	Market
LINDSAY CORP	26597	298000	Market
LIONS GATE ENTMNT CORP	3972	140750	Market
LIQUIDITY SERVICES INC	12581	1981239	Market
LITTELFUSE INC	5625	34092	Market
LIVANOVA PLC	62342	1018500	Market
LIVE NATION ENTERTAINMENT IN	78078	2240400	Market
LIVEPERSON INC	23123	2102100	Market
LLOYDS BANKING GROUP PLC	2682	759700	Market
LOCKHEED MARTIN CORP	32064	115500	Market
LOEWS CORP	28783	614900	Market
LOGITECH INTL S A	100343	2737131	Market
LOGMEIN INC	88811	849869	Market
LORAL SPACE & COMMUNICATNS I	420	10100	Market
LOUISIANA PAC CORP	27326	1133400	Market
LOWES COS INC	11901	153500	Market
LRAD CORP	406	239100	Market
LSI INDS INC	2406	265900	Market
LUBYS INC	620	220500	Market
LULULEMON ATHLETICA INC	26476	443700	Market
LUMBER LIQUIDATORS HLDGS INC	3145	125500	Market
LUMINEX CORP DEL	38893	1841540	Market
LUMOS NETWORKS CORP	4625	258800	Market
LUNA INNOVATIONS	704	465905	Market
LUXFER HLDGS PLC	5739	448700	Market
LUXOFT HLDG INC	3060	50293	Market
LYDALL INC DEL	20504	396600	Market
LYON WILLIAM HOMES	2827	117100	Market
LYONDELLBASELL INDUSTRIES N	31562	374000	Market
M & T BK CORP	30898	190790	Market
M/I HOMES INC	7420	259900	Market
MACATAWA BK CORP	8488	889700	Market
MACK CALI RLTY CORP	45655	1682201	Market
MACQUARIE INFRASTRUCTURE COR	34324	437800	Market
MACROGENICS INC	3975	227023	Market
MADDEN STEVEN LTD	1238	30978	Market
MADISON SQUARE GARDEN CO NEW	44854	227800	Market
MADRIGAL PHARMACEUTICALS INC	1226	75387	Market
MAG SILVER CORP	3346	256511	Market
MAGAL SECURITY SYS LTD	2534	514949	Market
MAGELLAN HEALTH INC	87392	1198799	Market
MAGELLAN MIDSTREAM PRTNRS LP	62077	871016	Market
MAGIC SOFTWARE ENTERPRISES L	3024	380352	Market
MAGICJACK VOCALTEC LTD	6442	894768	Market
MAGNACHIP SEMICONDUCTOR CORP	5012	511442	Market
MAINSOURCE FINANCIAL GP INC	12017	358600	Market
MAKEMYTRIP LIMITED MAURITIUS	1223	36467	Market
MALIBU BOATS INC	7518	290600	Market
MALVERN BANCORP INC	1037	43299	Market
MANCHESTER UTD PLC NEW	5712	351500	Market
MANHATTAN ASSOCS INC	75856	1578360	Market
MANHATTAN BRIDGE CAPITAL INC	898	151000	Market
MANITOWOC INC	102	16950	Market
MANNATECH INC	3174	203460	Market
MANNING & NAPIER INC	5505	1265600	Market
MANTECH INTL CORP	3737	90300	Market
MANULIFE FINL CORP	2587	137924	Market
MARATHON OIL CORP	11369	959446	Market
MARCHEX INC	4321	1449901	Market
MARCUS & MILLICHAP INC	920	34900	Market
MARCUS CORP	11307	374416	Market
MARIN SOFTWARE INC	1171	901000	Market
MARINE PRODS CORP	2438	156200	Market
MARKEL CORP	163532	167577	Market
MARKETAXESS HLDGS INC	56597	281438	Market
