CompanyName	Value(1000s)	Shares	OrderType
HEALTH INS INNOVATIONS INC	494	27660	Market
HEALTHCARE RLTY TR	230484	7601728	Market
HEALTHCARE SVCS GRP INC	228200	5825893	Market
HEALTHCARE TR AMER INC	67585	2321708	Market
HEALTHEQUITY INC	141886	3501628	Market
HEALTHSOUTH CORP	225732	5473612	Market
HEALTHSOUTH CORP	69	58000	Market
HEALTHSTREAM INC	53916	2152342	Market
HEALTHWAYS INC	64002	2813267	Market
HEARTLAND EXPRESS INC	69950	3435654	Market
HEARTLAND FINL USA INC	34337	715353	Market
HEAT BIOLOGICS INC	2	2372	Market
HECLA MNG CO	64508	12310744	Market
HEICO CORP NEW	36387	471643	Market
HEICO CORP NEW	52528	773609	Market
HEIDRICK & STRUGGLES INTL IN	37547	1554729	Market
HELEN OF TROY CORP LTD	140260	1660865	Market
HELIX ENERGY SOLUTIONS GRP I	81848	9279799	Market
HELMERICH & PAYNE INC	470436	6077985	Market
HEMISPHERE MEDIA GROUP INC	2011	179532	Market
HEMISPHERX BIOPHARMA INC	5	6904	Market
HENNESSY ADVISORS INC	2966	93424	Market
HENRY JACK & ASSOC INC	267648	3014729	Market
HERBALIFE LTD	35744	742511	Market
HERC HLDGS INC	9127	227270	Market
HERITAGE COMMERCE CORP	12302	852535	Market
HERITAGE CRYSTAL CLEAN INC	6505	414309	Market
HERITAGE FINL CORP WASH	24994	970636	Market
HERITAGE INS HLDGS INC	13726	875912	Market
HERITAGE OAKS BANCORP	9851	798907	Market
HERON THERAPEUTICS INC	13362	1019962	Market
HERSHA HOSPITALITY TR	27635	1285333	Market
HERSHEY CO	303860	2937832	Market
HERTZ GLOBAL HLDGS INC	16597	769811	Market
HESKA CORP	13819	192998	Market
HESS CORP	343815	5519593	Market
HEWLETT PACKARD ENTERPRISE C	573969	24804199	Market
HEXCEL CORP NEW	84311	1639016	Market
HFF INC	83939	2774843	Market
HHGREGG INC	59	40994	Market
HIBBETT SPORTS INC	66194	1774640	Market
HIGHWOODS PPTYS INC	262669	5149362	Market
HILL INTERNATIONAL INC	4609	1059576	Market
HILL ROM HLDGS INC	143581	2557554	Market
HILLENBRAND INC	186668	4867474	Market
HILLTOP HOLDINGS INC	70282	2358465	Market
HILTON WORLDWIDE HLDGS INC	148408	5456189	Market
HINGHAM INSTN SVGS MASS	8823	44836	Market
HISTOGENICS CORP	4	2489	Market
HMN FINL INC	15	848	Market
HMS HLDGS CORP	123794	6816877	Market
HNI CORP	148292	2651853	Market
HOLLYFRONTIER CORP	341107	10412296	Market
HOLOGIC INC	248004	6181545	Market
HOLOGIC INC	79	58000	Market
HOME BANCORP INC	7599	196826	Market
HOME BANCSHARES INC	262534	9453868	Market
HOME DEPOT INC	2348986	17519287	Market
HOME FED BANCORP INC LA NEW	7	253	Market
HOMESTREET INC	62139	1966415	Market
HOMETRUST BANCSHARES INC	14432	557208	Market
HONEYWELL INTL INC	1137337	9817321	Market
HOOKER FURNITURE CORP	13570	357569	Market
HOOPER HOLMES INC	1	778	Market
HOPE BANCORP INC	226688	10355784	Market
HOPFED BANCORP INC	320	23811	Market
HORACE MANN EDUCATORS CORP N	141254	3300317	Market
HORIZON BANCORP IND	18247	651669	Market
HORIZON GLOBAL CORP	14011	583786	Market
HORIZON PHARMA PLC	127687	7891641	Market
HORMEL FOODS CORP	212003	6090288	Market
HORNBECK OFFSHORE SVCS INC N	17924	2482497	Market
HORNBECK OFFSHORE SVCS INC N	41	58000	Market
HORTONWORKS INC	9915	1193121	Market
HOSPITALITY PPTYS TR	202564	6381979	Market
HOST HOTELS & RESORTS INC	441885	23454606	Market
HOUGHTON MIFFLIN HARCOURT CO	41108	3788786	Market
HOULIHAN LOKEY INC	11702	376018	Market
HOUSTON AMERN ENERGY CORP	2	10423	Market
HOUSTON WIRE & CABLE CO	303	46627	Market
HOVNANIAN ENTERPRISES INC	16870	6179370	Market
HOWARD BANCORP INC	11	701	Market
HOWARD HUGHES CORP	63053	552608	Market
HP INC	357061	24060690	Market
HRG GROUP INC	56724	3645495	Market
HSBC HLDGS PLC	150206	5960575	Market
HSN INC	64990	1894764	Market
HTG MOLECULAR DIAGNOSTICS IN	4	1621	Market
HUANENG PWR INTL INC	886	34020	Market
HUB GROUP INC	117446	2684480	Market
HUBBELL INC	237758	2037344	Market
HUBSPOT INC	42987	914617	Market
HUDBAY MINERALS INC	160	28141	Market
HUDSON GLOBAL INC	98	72090	Market
HUDSON PAC PPTYS INC	138248	3974933	Market
HUDSON TECHNOLOGIES INC	565	70478	Market
HUMANA INC	477584	2340756	Market
HUNT J B TRANS SVCS INC	223070	2298032	Market
HUNTINGTON BANCSHARES INC	272067	20579960	Market
HUNTINGTON INGALLS INDS INC	386751	2099742	Market
HUNTSMAN CORP	114444	5998114	Market
HURCO COMPANIES INC	6933	209467	Market
HURON CONSULTING GROUP INC	34234	675889	Market
HURON CONSULTING GROUP INC	57	58000	Market
HUTTIG BLDG PRODS INC	409	61929	Market
HYATT HOTELS CORP	18756	339410	Market
HYSTER YALE MATLS HANDLING I	18352	287791	Market
I D SYSTEMS INC	180	33288	Market
IAC INTERACTIVECORP	50889	785447	Market
IAMGOLD CORP	150	38950	Market
IBERIABANK CORP	122474	1462381	Market
IBIO INC	9	21982	Market
ICAD INC	117	36029	Market
ICF INTL INC	31097	563352	Market
ICICI BK LTD	8265	1103417	Market
ICON PLC	2700	35901	Market
ICONIX BRAND GROUP INC	39793	4260458	Market
ICONIX BRAND GROUP INC	55	58000	Market
ICU MED INC	167766	1138554	Market
IDACORP INC	446947	5548690	Market
IDEAL PWR INC	84	25418	Market
IDENTIV INC	11	3305	Market
IDERA PHARMACEUTICALS INC	4939	3292962	Market
IDEX CORP	262886	2919008	Market
IDEXX LABS INC	435479	3713470	Market
IDT CORP	11905	642124	Market
IEC ELECTRS CORP NEW	116	32559	Market
IES HLDGS INC	4851	253302	Market
IF BANCORP INC	13	697	Market
IGNITE RESTAURANT GROUP INC	11	20410	Market
IGNYTA INC	5027	948441	Market
IHS MARKIT LTD	12241	345698	Market
II VI INC	129824	4378533	Market
IKANG HEALTHCARE GROUP INC	4845	279598	Market
IKONICS CORP	3	237	Market
ILG INC	156350	8604844	Market
ILLINOIS TOOL WKS INC	500374	4086019	Market
ILLUMINA INC	601245	4695763	Market
ILLUMINA INC	83	87000	Market
ILLUMINA INC	80	83000	Market
IMAGE SENSING SYS INC	7	1777	Market
IMATION CORP	72	87317	Market
IMAX CORP	54079	1722261	Market
IMMERSION CORP	10110	951127	Market
IMMUCELL CORP	4	736	Market
IMMUNE DESIGN CORP	2441	443790	Market
IMMUNE PHARMACEUTICALS INC	2	8931	Market
IMMUNOCELLULAR THERAPEUTICS	1	672	Market
IMMUNOGEN INC	5129	2514221	Market
IMMUNOMEDICS INC	16899	4604697	Market
IMPAC MTG HLDGS INC	4949	352973	Market
IMPAX LABORATORIES INC	79298	5984758	Market
IMPAX LABORATORIES INC	69	87000	Market
IMPERIAL OIL LTD	16	470	Market
IMPERVA INC	34836	907196	Market
IMPINJ INC	6392	180863	Market
IMPRIMIS PHARMACEUTICALS INC	125	49858	Market
INC RESH HLDGS INC	105076	1997637	Market
INCOME OPPORTUNITY RLTY INVS	1	108	Market
INCYTE CORP	444895	4436973	Market
INCYTE CORP	116	58000	Market
INCYTE CORP	59	29000	Market
INDEPENDENCE CONTRACT DRIL I	6648	992195	Market
INDEPENDENCE HLDG CO NEW	4557	233115	Market
INDEPENDENCE RLTY TR INC	17732	1987905	Market
INDEPENDENT BANK CORP MASS	147964	2100275	Market
INDEPENDENT BANK CORP MICH	14579	671841	Market
INDEPENDENT BK GROUP INC	22852	366212	Market
INDUSTRIAL SVCS AMER INC FLA	5	2547	Market
INFINERA CORPORATION	41474	4885099	Market
INFINITY PHARMACEUTICALS INC	2220	1644813	Market
INFINITY PPTY & CAS CORP	78562	893761	Market
INFORMATION SERVICES GROUP I	3662	1005934	Market
INFOSONICS CORP	2	4674	Market
INFOSYS LTD	23391	1577270	Market
INFRAREIT INC	22543	1258710	Market
INFUSYSTEM HLDGS INC	153	60045	Market
INGERSOLL-RAND PLC	348180	4639926	Market
INGEVITY CORP	182658	3329538	Market
INGLES MKTS INC	20783	432089	Market
INGREDION INC	363481	2908776	Market
INNERWORKINGS INC	12485	1267501	Market
INNODATA INC	174	70822	Market
INNOPHOS HOLDINGS INC	79152	1514585	Market
INNOSPEC INC	130375	1903280	Market
INNOVATIVE SOLUTIONS & SUPPO	128	38520	Market
INNOVIVA INC	89473	8361970	Market
INOGEN INC	87736	1306177	Market
INOTEK PHARMACEUTICALS CORP	3368	552073	Market
INOVALON HLDGS INC	8549	830037	Market
INOVIO PHARMACEUTICALS INC	21970	3165665	Market
INPHI CORP	53470	1198352	Market
INSEEGO CORP	243	99632	Market
INSIGHT ENTERPRISES INC	117127	2896322	Market
INSIGNIA SYS INC	8	3143	Market
INSMED INC	35794	2705488	Market
INSPERITY INC	97297	1371345	Market
INSPIREMD INC	0	56	Market
INSTALLED BLDG PRODS INC	77400	1874087	Market
INSTEEL INDUSTRIES INC	49334	1384235	Market
INSTITUTIONAL FINL MKTS INC	6	4634	Market
INSTRUCTURE INC	6627	338967	Market
INSULET CORP	71185	1889200	Market
INSYS THERAPEUTICS INC NEW	15775	1714727	Market
INTEGER HLDGS CORP	69044	2344451	Market
INTEGRA LIFESCIENCES HLDGS C	208267	2427637	Market
INTEGRATED DEVICE TECHNOLOGY	193450	8210952	Market
INTEGRATED DEVICE TECHNOLOGY	60	58000	Market
INTEL CORP	2879512	79391014	Market
INTEL CORP	315	233000	Market
INTEL CORP	513	291000	Market
INTELIQUENT INC	63251	2759650	Market
INTELLIA THERAPEUTICS INC	9234	704350	Market
INTELLICHECK MOBILISA INC	6	2298	Market
INTELLIGENT SYS CORP NEW	7	1594	Market
INTELSAT S A	2816	1054758	Market
INTER PARFUMS INC	44838	1369095	Market
INTERACTIVE BROKERS GROUP IN	152651	4181085	Market
INTERCEPT PHARMACEUTICALS IN	60932	560812	Market
INTERCEPT PHARMACEUTICALS IN	52	58000	Market
INTERCONTINENTAL EXCHANGE IN	452093	8012984	Market
INTERDIGITAL INC	79	58000	Market
INTERDIGITAL INC	188743	2066151	Market
INTERFACE INC	96588	5206897	Market
INTERGROUP CORP	3	126	Market
INTERLINK ELECTRS INC	18	2508	Market
INTERMOLECULAR INC	64	67667	Market
INTERNAP CORP	221	143817	Market
INTERNATIONAL BANCSHARES COR	142752	3498827	Market
INTERNATIONAL BUSINESS MACHS	2418283	14568846	Market
INTERNATIONAL FLAVORS&FRAGRA	182558	1549330	Market
INTERNATIONAL GAME TECHNOLOG	22793	893142	Market
INTERNATIONAL SEAWAYS INC	6121	435948	Market
INTERNATIONAL SPEEDWAY CORP	55611	1511172	Market
INTERPACE DIAGNOSTICS GROUP	1	272	Market
INTERPUBLIC GROUP COS INC	162642	6947564	Market
INTERSECT ENT INC	9857	814609	Market
INTERSECTIONS INC	89	22251	Market
INTERSIL CORP	178861	8020662	Market
INTERXION HOLDING N.V	12471	355602	Market
INTEST CORP	136	29579	Market
INTEVAC INC	459	53722	Market
INTL FCSTONE INC	52737	1331736	Market
INTL PAPER CO	630654	11885679	Market
INTRA CELLULAR THERAPIES INC	30697	2034263	Market
INTRALINKS HLDGS INC	18206	1346631	Market
INTRAWEST RESORTS HLDGS INC	9403	526780	Market
INTREPID POTASH INC	333	159918	Market
INTREXON CORP	14327	589593	Market
INTRICON CORP	109	15796	Market
INTUIT	453190	3954195	Market
INTUITIVE SURGICAL INC	622165	981070	Market
INUVO INC	90	53735	Market
INVACARE CORP	36466	2794305	Market
INVENSENSE INC	32085	2508638	Market
INVENTERGY GLOBAL INC	0	300	Market
INVENTURE FOODS INC	5976	606742	Market
INVESCO LTD	223289	7359551	Market
INVESCO MORTGAGE CAPITAL INC	97128	6652569	Market
INVESTAR HLDG CORP	34	1815	Market
INVESTMENT TECHNOLOGY GRP NE	41558	2105250	Market
INVESTORS BANCORP INC NEW	136551	9788615	Market
INVESTORS REAL ESTATE TR	27412	3844544	Market
INVESTORS TITLE CO	7619	48164	Market
INVITAE CORP	6199	780737	Market
INVIVO THERAPEUTICS HLDGS CO	4312	1026700	Market
INVUITY INC	178	31035	Market
ION GEOPHYSICAL CORP	160	26672	Market
IONIS PHARMACEUTICALS INC	146249	3057681	Market
IPASS INC	301	182136	Market
IPG PHOTONICS CORP	139619	1414439	Market
IRADIMED CORP	1424	128299	Market
IRHYTHM TECHNOLOGIES INC	6830	227657	Market
IRIDEX CORP	3424	243500	Market
IRIDIUM COMMUNICATIONS INC	84088	8759180	Market
IROBOT CORP	125200	2142004	Market
IRON MTN INC NEW	185840	5721679	Market
IRONWOOD PHARMACEUTICALS INC	98651	6452010	Market
IRONWOOD PHARMACEUTICALS INC	66	58000	Market
IRSA INVERSIONES Y REP S A	1955	106015	Market
ISHARES	3429	169491	Market
ISHARES	1312	28613	Market
ISHARES	118032	4513649	Market
ISHARES	13801	322072	Market
ISHARES	2583	35573	Market
ISHARES	12576	257118	Market
ISHARES	1127515	32587145	Market
ISHARES	3556	120717	Market
ISHARES	50333	1898641	Market
ISHARES	8541	160486	Market
ISHARES	526202	19871680	Market
ISHARES	2011	45725	Market
ISHARES	36283	618109	Market
ISHARES	608	22250	Market
ISHARES INC	500526	11790956	Market
ISHARES INC	11789	351715	Market
ISHARES INC	860527	17612096	Market
ISHARES INC	6842	282624	Market
ISHARES TR	426340	8312349	Market
ISHARES TR	893681	7896797	Market
ISHARES TR	866442	3851024	Market
ISHARES TR	2676277	24766580	Market
ISHARES TR	260428	7438681	Market
ISHARES TR	84659	722473	Market
ISHARES TR	2534	47790	Market
ISHARES TR	3630	30472	Market
ISHARES TR	3261858	56501952	Market
ISHARES TR	63349	383141	Market
ISHARES TR	551216	5532079	Market
ISHARES TR	2785448	22380265	Market
ISHARES TR	257090	1906490	Market
ISHARES TR	30274	220144	Market
ISHARES TR	1839	16329	Market
ISHARES TR	48435	1202752	Market
ISHARES TR	2484	41975	Market
ISHARES TR	77153	1548021	Market
ISHARES TR	5416	49141	Market
ISHARES TR	42187	1427180	Market
ISHARES TR	1238	28257	Market
ISHARES TR	264411	3055008	Market
ISHARES TR	32457	305222	Market
ISHARES TR	173546	1588962	Market
ISHARES TR	4963	45874	Market
ISHARES TR	76037	724575	Market
ISHARES TR	102304	927503	Market
ISHARES TR	13479	362230	Market
ISHARES TR	234630	9411556	Market
ISHARES TR	2249	83893	Market
ISHARES TR	29228	355356	Market
ISHARES TR	18838	307708	Market
ISHARES TR	1828176	36208671	Market
ISHARES TR	1143274	21317803	Market
ISHARES TR	5026	204000	Market
ISHARES TR	3160	128400	Market
ISHARES TR	3118	129000	Market
ISHARES TR	43279	1863081	Market
ISHARES TR	113358	4242449	Market
ISHARES TR	611554	12165378	Market
ISHARES TR	227931	4669756	Market
ISHARES TR	3387	159629	Market
ISHARES TR	328631	8076457	Market
ISHARES TR	66021	2151216	Market
ISHARES TR	40258	957155	Market
ISHARES TR	182057	3509201	Market
ISIS PHARMACEUTICALS INC DEL	118	117000	Market
ISLE OF CAPRI CASINOS INC	19827	803026	Market
ISORAY INC	10	16494	Market
ISRAEL CHEMICALS LTD	149	36165	Market
ISRAMCO INC	2978	23958	Market
ISSUER DIRECT CORPORATION	3	318	Market
ISTAR INC	45542	3681687	Market
ITAU UNIBANCO HLDG SA	87625	8523793	Market
ITERIS INC	248	68061	Market
ITRON INC	162401	2583945	Market
ITT INC	135120	3503229	Market
ITURAN LOCATION AND CONTROL	5002	188745	Market
ITUS CORP	12	2215	Market
IXIA	83554	5189701	Market
IXYS CORP	9814	824701	Market
IZEA INC	55	12228	Market
J & J SNACK FOODS CORP	156654	1174051	Market
J ALEXANDERS HLDGS INC	4964	461780	Market
J2 GLOBAL INC	229306	2803254	Market
JA SOLAR HOLDINGS CO LTD	1338	281013	Market
JABIL CIRCUIT INC	173651	7336346	Market
JACK IN THE BOX INC	213248	1910137	Market
JACKSONVILLE BANCORP INC MD	7	232	Market
JACOBS ENGR GROUP INC DEL	139670	2450359	Market
JAGUAR ANIMAL HEALTH INC	36	49785	Market
JAKKS PAC INC	2694	523181	Market
JAMBA INC	4247	412357	Market
JAMES RIV GROUP LTD	18501	445280	Market
JANUS CAP GROUP INC	118868	8957644	Market
JASON INDS INC	84	46872	Market
JAZZ PHARMACEUTICALS PLC	122835	1126612	Market
JD COM INC	236985	9315451	Market
JDS UNIPHASE CORP	90	87000	Market
JERNIGAN CAP INC	3228	153355	Market
JETBLUE AIRWAYS CORP	302016	13470828	Market
JETPAY CORP	5	2300	Market
JEWETT CAMERON TRADING LTD	4	283	Market
JINKOSOLAR HLDG CO LTD	2754	180859	Market
JIVE SOFTWARE INC	8016	1842679	Market
JOHN BEAN TECHNOLOGIES CORP	192729	2242336	Market
JOHNSON & JOHNSON	5247398	45546374	Market
JOHNSON CTLS INTL PLC	669802	16261288	Market
JOHNSON OUTDOORS INC	6318	159175	Market
JOINT CORP	62	23352	Market
JONES ENERGY INC	9828	1965605	Market
JONES LANG LASALLE INC	209695	2075362	Market
JOY GLOBAL INC	165336	5904849	Market
JPMORGAN CHASE & CO	4243773	49180359	Market
JRJR33 INC	45	59756	Market
JUMEI INTL HLDG LTD	1876	374398	Market
JUNIPER NETWORKS INC	206707	7314480	Market
JUNIPER PHARMACEUTICALS INC	185	33080	Market
JUNO THERAPEUTICS INC	40470	2146963	Market
K12 INC	19218	1119903	Market
K2M GROUP HLDGS INC	18103	903362	Market
KADANT INC	21417	349946	Market
KADMON HLDGS INC	1349	252169	Market
KAISER ALUMINUM CORP	112715	1450836	Market
KALVISTA PHARMACEUTICALS INC	16	2274	Market
KAMAN CORP	106842	2183564	Market
KANSAS CITY SOUTHERN	219604	2588142	Market
KAPSTONE PAPER & PACKAGING C	167399	7591775	Market
KAR AUCTION SVCS INC	60788	1426279	Market
KARYOPHARM THERAPEUTICS INC	12938	1376355	Market
KATE SPADE & CO	91957	4925368	Market
KB FINANCIAL GROUP INC	964	27320	Market
KB HOME	101208	6401500	Market
KBR INC	95602	5728101	Market
KCG HLDGS INC	25328	1911510	Market
KEARNY FINL CORP MD	41657	2678921	Market
KELLOGG CO	472196	6406137	Market
KELLY SVCS INC	56793	2477880	Market
KEMET CORP	806	121583	Market
KEMPER CORP DEL	118556	2676206	Market
KEMPHARM INC	117	39546	Market
KENNAMETAL INC	150252	4806528	Market
KENNEDY-WILSON HLDGS INC	51965	2534886	Market
KENTUCKY FIRST FED BANCORP	8	844	Market
KERYX BIOPHARMACEUTICALS INC	13901	2372234	Market
KEWAUNEE SCIENTIFIC CORP	6	262	Market
KEY TECHNOLOGY INC	141	12181	Market
KEY TRONICS CORP	229	29315	Market
KEYCORP NEW	382851	20955159	Market
KEYSIGHT TECHNOLOGIES INC	243283	6652526	Market
KEYW HLDG CORP	13870	1176456	Market
KFORCE INC	17075	739189	Market
KILROY RLTY CORP	345570	4719606	Market
KIMBALL ELECTRONICS INC	16829	924678	Market
KIMBALL INTL INC	20412	1162408	Market
KIMBERLY CLARK CORP	1113868	9760500	Market
KIMCO RLTY CORP	325718	12945869	Market
KINDER MORGAN INC DEL	624286	30144167	Market
KINDER MORGAN INC DEL	160403	3297082	Market
KINDRED BIOSCIENCES INC	189	44361	Market
KINDRED HEALTHCARE INC	56944	7254004	Market
KINGSTONE COS INC	329	23906	Market
KINROSS GOLD CORP	2875	924501	Market
KINSALE CAP GROUP INC	7594	223280	Market
KIRBY CORP	189749	2853364	Market
KIRKLANDS INC	18782	1210949	Market
KITE PHARMA INC	89415	1994083	Market
KITE RLTY GROUP TR	168779	7188214	Market
KLA-TENCOR CORP	241359	3067606	Market
KLX INC	170325	3775774	Market
KMG CHEMICALS INC	11322	291132	Market
KNIGHT TRANSN INC	169851	5139208	Market
KNOLL INC	39404	1410829	Market
KNOWLES CORP	89094	5331748	Market
KOHLS CORP	166026	3362202	Market
KONA GRILL INC	3222	256726	Market
KONGZHONG CORP	133	19194	Market
KOPIN CORP	14199	4999487	Market
KOPPERS HOLDINGS INC	67023	1663098	Market
KOREA ELECTRIC PWR	4166	225448	Market
KORN FERRY INTL	137146	4660071	Market
KORNIT DIGITAL LTD	1494	118068	Market
KOSMOS ENERGY LTD	12723	1814949	Market
KRAFT HEINZ CO	732718	8391184	Market
KRATON CORPORATION	68015	2388169	Market
KRATOS DEFENSE & SEC SOLUTIO	13786	1862971	Market
KROGER CO	428433	12414759	Market
KRONOS WORLDWIDE INC	8093	677812	Market
KULICKE & SOFFA INDS INC	55710	3492759	Market
KURA ONCOLOGY INC	212	35904	Market
KVH INDS INC	5931	502657	Market
L BRANDS INC	297487	4518330	Market
L-3 COMMUNICATIONS HLDGS INC	287814	1892141	Market
LA JOLLA PHARMACEUTICAL CO	7824	446293	Market
LA QUINTA HLDGS INC	37217	2619094	Market
LA Z BOY INC	122614	3948916	Market
LABORATORY CORP AMER HLDGS	334485	2605426	Market
LADDER CAP CORP	34566	2519397	Market
LADENBURG THALMAN FIN SVCS I	8156	3342524	Market
LAKE SHORE BANCORP INC	11	652	Market
LAKE SUNAPEE BK GROUP	6316	267725	Market
LAKELAND BANCORP INC	25080	1286142	Market
LAKELAND FINL CORP	37759	797284	Market
LAKELAND INDS INC	240	23078	Market
LAM RESEARCH CORP	353496	3343382	Market
LAM RESEARCH CORP	102	58000	Market
LAMAR ADVERTISING CO NEW	240020	3569603	Market
LAMB WESTON HLDGS INC	204370	5399483	Market
LANCASTER COLONY CORP	157838	1116329	Market
LANDAUER INC	37060	770471	Market
LANDEC CORP	12087	875895	Market
LANDMARK BANCORP INC	19	676	Market
LANDS END INC NEW	6929	457369	Market
LANDSTAR SYS INC	191526	2245322	Market
LANNET INC	58518	2653892	Market
LANTHEUS HLDGS INC	299	34735	Market
LANTRONIX INC	4	2338	Market
LAREDO PETROLEUM INC	24488	1731792	Market
LAS VEGAS SANDS CORP	158219	2962345	Market
LASALLE HOTEL PPTYS	219598	7207027	Market
LATAM AIRLS GROUP S A	8180	999970	Market
LATTICE SEMICONDUCTOR CORP	26221	3562636	Market
LAUDER ESTEE COS INC	247056	3229910	Market
LAWSON PRODS INC	4916	206536	Market
LAYNE CHRISTENSEN CO	6594	606599	Market
LAZARD LTD	62174	1513129	Market
LCNB CORP	6861	295110	Market
LEAF GROUP LTD	233	35637	Market
LEAR CORP	107808	814444	Market
LEE ENTERPRISES INC	398	137278	Market
LEGACY TEX FINL GROUP INC	143672	3336563	Market
LEGG MASON INC	113640	3799391	Market
LEGGETT & PLATT INC	252718	5170182	Market
LEIDOS HLDGS INC	284862	5570232	Market
LEMAITRE VASCULAR INC	11049	436046	Market
LENDINGCLUB CORP	58128	11071944	Market
LENDINGTREE INC NEW	53755	530390	Market
LENNAR CORP	264482	6160776	Market
LENNAR CORP	9361	271343	Market
LENNOX INTL INC	245428	1602321	Market
LEUCADIA NATL CORP	132041	5679164	Market
LEVEL 3 COMMUNICATIONS INC	320845	5692777	Market
LEXICON PHARMACEUTICALS INC	41174	2977143	Market
LEXINGTON REALTY TRUST	198713	18399367	Market
LGI HOMES INC	45779	1593418	Market
LGL GROUP INC	1	257	Market
LHC GROUP INC	60102	1315144	Market
LIBBEY INC	14067	722844	Market
LIBERTY BROADBAND CORP	19328	266735	Market
LIBERTY BROADBAND CORP	82290	1110980	Market
LIBERTY EXPEDIA HOLDINGS	22014	554931	Market
LIBERTY GLOBAL PLC	9160	299429	Market
LIBERTY GLOBAL PLC	27	868	Market
LIBERTY GLOBAL PLC	17480	588554	Market
LIBERTY GLOBAL PLC	713	32475	Market
LIBERTY GLOBAL PLC	3276	154737	Market
LIBERTY INTERACTIVE CORP	96001	4804835	Market
LIBERTY INTERACTIVE CORP	31639	858118	Market
LIBERTY INTERACTIVE LLC	126	117000	Market
LIBERTY MEDIA CORP	16	30931	Market
LIBERTY MEDIA CORP DELAWARE	32584	943920	Market
LIBERTY MEDIA CORP DELAWARE	64483	1901040	Market
LIBERTY MEDIA CORP DELAWARE	5824	284258	Market
LIBERTY MEDIA CORP DELAWARE	44947	1434637	Market
LIBERTY MEDIA CORP DELAWARE	22255	709903	Market
LIBERTY MEDIA CORP DELAWARE	20104	976412	Market
LIBERTY MEDIA CORP DELAWARE	157	146000	Market
LIBERTY PPTY TR	275154	6965917	Market
LIBERTY TAX INC	2961	220936	Market
LIBERTY TRIPADVISOR HLDGS IN	33935	2254796	Market
LIFE STORAGE INC	179626	2106803	Market
LIFELOCK INC	60739	2539250	Market
LIFEPOINT HEALTH INC	97137	1710157	Market
LIFETIME BRANDS INC	6506	366525	Market
LIFEVANTAGE CORP	3669	450179	Market
LIFEWAY FOODS INC	1751	152171	Market
LIGAND PHARMACEUTICALS INC	180125	1772705	Market
LIGHTBRIDGE CORP	2	1643	Market
LIGHTPATH TECHNOLOGIES INC	5	3255	Market
LILLY ELI & CO	1401350	19053029	Market
LIMELIGHT NETWORKS INC	5807	2304440	Market
LIMONEIRA CO	8250	383556	Market
LINCOLN EDL SVCS CORP	144	75143	Market
LINCOLN ELEC HLDGS INC	183925	2398922	Market
LINCOLN NATL CORP IND	285176	4303250	Market
LINDBLAD EXPEDITIONS HLDGS I	4621	489017	Market
LINDSAY CORP	62855	842447	Market
LINEAR TECHNOLOGY CORP	306740	4919649	Market
LINKEDIN CORP	25	25000	Market
LION BIOTECHNOLOGIES INC	18534	2666777	Market
LIONBRIDGE TECHNOLOGIES INC	10739	1851496	Market
LIONS GATE ENTMNT CORP	13013	483773	Market
LIONS GATE ENTMNT CORP	25984	1058836	Market
LIPOCINE INC NEW	1980	538095	Market
LIQTECH INTL INC	5	7413	Market
LIQUIDITY SERVICES INC	20084	2059870	Market
LITHIA MTRS INC	184614	1906577	Market
LITTELFUSE INC	198893	1310487	Market
LIVANOVA PLC	57992	1289562	Market
LIVE NATION ENTERTAINMENT IN	136103	5116646	Market
LIVE NATION ENTERTAINMENT IN	62	58000	Market
LIVE OAK BANCSHARES INC	11681	631417	Market
LIVE VENTURES INC	15	631	Market
LIVEPERSON INC	32721	4333966	Market
LKQ CORP	161247	5260926	Market
LM FDG AMER INC	8	1896	Market
LMI AEROSPACE INC	301	34875	Market
LOCKHEED MARTIN CORP	1770573	7083994	Market
LOEWS CORP	242919	5187261	Market
LOGMEIN INC	188679	1954211	Market
LORAL SPACE & COMMUNICATNS I	15990	389523	Market
LOUISIANA PAC CORP	176324	9314542	Market
LOWES COS INC	884785	12440738	Market
LOXO ONCOLOGY INC	23218	722972	Market
LPL FINL HLDGS INC	38272	1086951	Market
LRAD CORP	140	82163	Market
LSB INDS INC	14855	1764238	Market
LSC COMMUNICATIONS INC	48003	1617352	Market
LSI INDS INC	7517	771759	Market
LTC PPTYS INC	145694	3101188	Market
LUBYS INC	2724	636464	Market
LUCAS ENERGY INC	21	16967	Market
LULULEMON ATHLETICA INC	69431	1068327	Market
LUMBER LIQUIDATORS HLDGS INC	41890	2661342	Market
LUMENTUM HLDGS INC	161801	4186318	Market
LUMINEX CORP DEL	74749	3694943	Market
LUMOS NETWORKS CORP	29945	1917123	Market
LUNA INNOVATIONS	13	9173	Market
LYDALL INC DEL	82795	1338647	Market
LYON WILLIAM HOMES	14220	747215	Market
LYONDELLBASELL INDUSTRIES N	449382	5238774	Market
M & T BK CORP	455805	2913796	Market
M D C HLDGS INC	103698	4041247	Market
M/I HOMES INC	62008	2462573	Market
MACATAWA BK CORP	9137	877732	Market
MACERICH CO	326077	4603001	Market
MACK CALI RLTY CORP	169419	5838009	Market
MACKINAC FINL CORP	10	764	Market
MACOM TECH SOLUTIONS HLDGS I	32442	700985	Market
MACQUARIE INFRASTRUCTURE COR	98100	1200738	Market
